id,name,2019,2020,2021,2022,2023,2024
835ac4bc-3b1c-4d79-a10f-843bc54be4ef,Staropolska Akademia Nauk Stosowanych w Kielcach,1950,1969,2050,2176,1993,2105
9a2ed6bc-9fd4-4dc4-a668-6cad90e5c200,Akademia Katolicka w Warszawie,973,997,999,1096,1025,992
82f46ff0-0103-4224-80d8-25e424f016ef,Akademia Medycznych i Społecznych Nauk Stosowanych,1757,1519,1644,1456,1207,1127
521ce6da-8ebb-47a5-90fe-3832685b75f9,Politechnika Warszawska,25022,24756,23050,21949,20775,20397
451f3300-ea98-4941-a77e-31f6cc80cbeb,Uniwersytet Jana Kochanowskiego w Kielcach,10592,10696,10491,10133,9193,9236
0c5a5b1d-0810-421d-bc19-0a029010273a,Wyższa Szkoła Gospodarki i Zarządzania,162,170,153,149,164,139
578b15a1-ea86-4ba3-a85d-e832cee68438,Wyższa Szkoła Przedsiębiorczości imienia Księcia Kazimierza Kujawskiego z siedzibą w Inowrocławiu,50,57,65,134,195,239
093b830b-eb89-4ca8-915d-8af2f34d2130,Wyższa Szkoła Medyczna w Kłodzku,375,382,578,749,786,779
07e26cfe-6c64-4c79-9495-c5f60de2d287,Wyższa Szkoła Ubezpieczeń w Krakowie w likwidacji,1,,,,,
aabd81d7-0194-4cb1-973c-bff4b55f1328,Uczelnia Metropolitalna,,,,,47,109
55baf644-3dc9-4855-a45b-d6b971a17256,Uniwersytet SWPS,14107,14953,15753,16311,16769,17895
e3cf1bf3-bdb0-458f-9968-6243bb2df7bb,Akademia Sztuki w Szczecinie,753,792,820,827,811,829
ec799b31-2b67-4e3d-b91b-d4bb28f41d43,Uniwersytet Jagielloński w Krakowie,35113,35517,34432,33794,33399,32739
f3353058-dd3f-4734-94fe-407e296021e8,Wyższa Szkoła Biznesu i Nauk o Zdrowiu w Łodzi,1111,1272,1610,1897,1908,1992
1aac7c63-437b-484c-8e33-1cb504ece435,Akademia Nauk Stosowanych im. Stanisława Staszica w Pile,1203,1270,1350,1309,1245,1225
e2ac2314-9c03-4226-a5e2-a3739b3b76a8,Akademia Nauk Stosowanych w Bielsku-Białej,846,743,691,694,633,542
e05ed102-dfb3-43e6-a961-484a5124a4f6,Wrocławska Akademia Biznesu w Naukach Stosowanych,1260,1536,1677,1823,2304,1507
2bfdce07-573a-4760-ace9-f7aa1ff990dd,Niepubliczna Wyższa Szkoła Medyczna we Wrocławiu,579,649,635,592,537,596
7cb54454-df9a-464f-80aa-5ce2185526ba,Uczelnia Medyczna im. Marii Skłodowskiej - Curie w Warszawie,680,734,1104,1504,1689,1792
ca889671-f723-4f4f-9cf1-ce6f662765d2,Wyższa Szkoła Administracji Publicznej w Ostrołęce,251,276,262,222,206,270
0d4d865c-0ef3-436e-9bcd-5fc3b56f168f,Akademia Polonijna w Częstochowie,633,1022,777,470,230,474
63f5f31a-00ce-4a8d-b946-753e82d6a4db,Państwowa Akademia Nauk Stosowanych we Włocławku,1095,1088,1193,1286,1288,1391
cb099eff-20bb-4dc3-a292-f410de23cc61,Ewangelikalna Wyższa Szkoła Teologiczna,49,68,74,71,75,67
